last_hint_correct,history_hint_correct,group,sex,age,education,hint_density,lie_detected
1.0,0.9284521647730817,dpm,m,0.0,1.0,0.37388456695437167,1
1.0,0.6794459348932341,dpm,m,0.0,1.0,0.6847969966605219,1
0.0,0.3059365900734627,dpm,m,0.0,1.0,0.7819571309436942,1
0.0,0.03914420091648298,dpm,m,0.0,1.0,-0.02182216176254748,1
0.0,-0.16095009095125165,dpm,m,0.0,1.0,-0.48112461473754264,1
1.0,0.1361596151553847,dpm,m,0.0,1.0,-1.4676736705359055,1
1.0,0.16227914975816607,dpm,m,0.0,1.0,-1.4397712729981742,0
1.0,0.3059365900734627,dpm,m,1.0,2.0,-0.714308937017156,1
0.0,-0.3165789846261565,dpm,m,1.0,2.0,-0.8697651518702314,1
0.0,-0.627836771975966,dpm,m,1.0,2.0,-0.9561297156774952,1
0.0,-0.8145914443858517,dpm,m,1.0,2.0,-0.714308937017156,1
1.0,2.17348331417232,dpm,m,2.0,4.0,1.4620780709258987,0
0.0,1.2397099521228914,dpm,m,2.0,4.0,0.5552501509496263,0
1.0,1.3434625479061613,dpm,m,2.0,4.0,0.5552501509496263,1
0.0,1.0529552797130055,dpm,m,2.0,4.0,0.6250061447939547,1
1.0,0.9284521647730817,dpm,m,2.0,4.0,0.7366157349448808,0
1.0,2.17348331417232,dpm,f,0.0,1.0,1.4620780709258987,1
0.0,0.3059365900734627,dpm,f,0.0,1.0,1.4620780709258987,0
1.0,0.9284521647730817,dpm,m,1.0,1.0,1.4620780709258987,0
1.0,0.6794459348932341,dpm,m,1.0,1.0,1.4620780709258987,1
1.0,0.7728232710981771,dpm,m,1.0,1.0,1.4620780709258987,0
0.0,0.5134417816400025,dpm,m,1.0,1.0,1.4620780709258987,0
1.0,0.4757135649915405,dpm,m,1.0,1.0,1.4620780709258987,1
1.0,0.44959403038875934,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,0.3059365900734627,dpm,m,1.0,1.0,1.4620780709258987,0
0.0,0.18143347513353889,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,0.07249324956110552,dpm,m,1.0,1.0,1.4620780709258987,1
1.0,0.4757135649915405,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,0.3871342737299347,dpm,m,1.0,1.0,1.4620780709258987,1
1.0,0.44959403038875934,dpm,m,1.0,1.0,1.4620780709258987,0
1.0,0.49913107877334445,dpm,m,1.0,1.0,1.4620780709258987,1
0.0,-1.5616101340253947,dpm,f,0.0,1.0,-0.351577769026647,1
