,id,sex,age,education,timestamp_2,timestamp_7,timestamp_end,timestamp_start,game_won,time_to_2,time_to_7,time_to_end,time_total
173,195,m,0.0,0.0,2023-09-14 15:12:02.653473,,,2023-09-14 15:10:39.460698,,0 days 00:01:23.192775,,,
174,196,f,1.0,1.0,,,,2023-09-14 15:17:02.531609,,,,,
177,199,f,1.0,1.0,,,,2023-09-14 15:33:20.806538,,,,,
178,200,f,1.0,2.0,2023-09-14 15:30:35.093665,2023-09-14 15:31:41.133894,,2023-09-14 15:29:39.371345,,0 days 00:00:55.722320,0 days 00:02:01.762549,,
179,201,m,1.0,2.0,,,,2023-09-14 15:32:22.169662,,,,,
180,202,f,1.0,2.0,,,,2023-09-14 15:45:42.289053,,,,,
181,203,m,1.0,2.0,2023-09-14 15:49:57.383064,2023-09-14 15:53:42.361955,2023-09-14 15:56:15.281651,2023-09-14 15:49:00.917011,1.0,0 days 00:00:56.466053,0 days 00:04:41.444944,0 days 00:07:14.364640,0 days 00:07:14.364640
182,204,m,1.0,1.0,2023-09-14 15:57:26.908829,2023-09-14 16:00:55.819425,,2023-09-14 15:55:52.526590,,0 days 00:01:34.382239,0 days 00:05:03.292835,,
184,206,,3.0,4.0,,,,2023-09-14 16:18:50.382055,,,,,
185,207,f,0.0,0.0,2023-09-14 16:23:08.731696,,2023-09-14 16:24:06.173404,2023-09-14 16:22:11.826761,0.0,0 days 00:00:56.904935,,,0 days 00:01:54.346643
186,208,m,1.0,1.0,2023-09-14 16:25:33.628783,,,2023-09-14 16:24:47.871932,,0 days 00:00:45.756851,,,
187,209,m,1.0,1.0,2023-09-14 16:30:18.720027,2023-09-14 16:34:31.810184,2023-09-14 16:37:50.771152,2023-09-14 16:28:00.289079,1.0,0 days 00:02:18.430948,0 days 00:06:31.521105,0 days 00:09:50.482073,0 days 00:09:50.482073
189,211,f,1.0,1.0,2023-09-14 16:42:04.197382,2023-09-14 16:43:25.432944,2023-09-14 16:47:53.371916,2023-09-14 16:41:01.157930,1.0,0 days 00:01:03.039452,0 days 00:02:24.275014,0 days 00:06:52.213986,0 days 00:06:52.213986
190,212,m,1.0,1.0,,,2023-09-14 16:41:01.626091,2023-09-14 16:40:43.805590,0.0,,,,0 days 00:00:17.820501
191,213,,4.0,3.0,,,,2023-09-14 16:42:49.493320,,,,,
192,214,m,1.0,1.0,2023-09-14 16:47:22.566664,2023-09-14 16:52:58.781001,2023-09-14 16:55:39.392290,2023-09-14 16:44:20.801014,1.0,0 days 00:03:01.765650,0 days 00:08:37.979987,0 days 00:11:18.591276,0 days 00:11:18.591276
193,215,,1.0,1.0,2023-09-14 16:52:26.586573,,,2023-09-14 16:51:45.174983,,0 days 00:00:41.411590,,,
194,216,m,3.0,3.0,2023-09-14 16:56:55.674465,2023-09-14 17:01:40.289955,2023-09-14 17:10:50.165191,2023-09-14 16:55:28.654456,1.0,0 days 00:01:27.020009,0 days 00:06:11.635499,0 days 00:15:21.510735,0 days 00:15:21.510735
195,217,f,0.0,0.0,,,,2023-09-14 16:56:46.634612,,,,,
197,219,m,2.0,2.0,2023-09-14 16:59:57.936101,2023-09-14 17:03:02.136556,2023-09-14 17:12:52.500705,2023-09-14 16:58:51.314547,0.0,0 days 00:01:06.621554,0 days 00:04:10.822009,,0 days 00:14:01.186158
198,220,f,1.0,3.0,,,,2023-09-14 16:59:30.982235,,,,,
200,222,f,1.0,2.0,,,2023-09-14 17:05:45.422487,2023-09-14 17:03:23.702903,0.0,,,,0 days 00:02:21.719584
201,223,f,1.0,1.0,2023-09-14 17:03:48.411596,,,2023-09-14 17:03:03.468005,,0 days 00:00:44.943591,,,
202,224,m,1.0,1.0,2023-09-14 17:08:47.443384,2023-09-14 17:11:31.298259,,2023-09-14 17:07:32.184339,,0 days 00:01:15.259045,0 days 00:03:59.113920,,
203,225,m,1.0,2.0,2023-09-14 17:15:02.977458,,,2023-09-14 17:11:37.615004,,0 days 00:03:25.362454,,,
205,227,f,1.0,3.0,2023-09-14 17:16:51.708514,2023-09-14 17:27:34.666245,,2023-09-14 17:14:36.167774,,0 days 00:02:15.540740,0 days 00:12:58.498471,,
206,228,f,1.0,2.0,,,,2023-09-14 17:20:27.787385,,,,,
207,229,f,1.0,2.0,,,,2023-09-14 17:31:17.653178,,,,,
209,231,f,1.0,3.0,2023-09-14 17:36:50.972989,2023-09-14 17:45:27.847992,,2023-09-14 17:33:18.679103,,0 days 00:03:32.293886,0 days 00:12:09.168889,,
210,232,m,1.0,1.0,2023-09-14 17:41:26.878776,2023-09-14 17:42:25.759996,,2023-09-14 17:34:52.613955,,0 days 00:06:34.264821,0 days 00:07:33.146041,,
213,235,m,1.0,1.0,,,,2023-09-14 17:40:30.656375,,,,,
214,236,m,3.0,3.0,2023-09-14 17:46:40.731732,,,2023-09-14 17:43:30.230022,,0 days 00:03:10.501710,,,
215,237,m,1.0,2.0,2023-09-14 17:45:53.246928,,,2023-09-14 17:44:42.632099,,0 days 00:01:10.614829,,,
216,238,m,1.0,1.0,2023-09-14 17:56:56.129041,,,2023-09-14 17:56:11.666916,,0 days 00:00:44.462125,,,
217,239,m,0.0,0.0,2023-09-14 17:59:47.709325,2023-09-14 18:09:20.434339,,2023-09-14 17:58:31.186255,,0 days 00:01:16.523070,0 days 00:10:49.248084,,
218,240,f,1.0,2.0,2023-09-14 18:10:12.702288,,2023-09-14 18:11:10.997737,2023-09-14 18:09:18.866174,0.0,0 days 00:00:53.836114,,,0 days 00:01:52.131563
219,241,f,1.0,1.0,2023-09-14 18:14:44.714692,2023-09-14 18:18:24.647157,2023-09-14 18:24:55.285513,2023-09-14 18:13:39.978151,1.0,0 days 00:01:04.736541,0 days 00:04:44.669006,0 days 00:11:15.307362,0 days 00:11:15.307362
221,243,m,1.0,2.0,2023-09-14 18:25:27.658659,,,2023-09-14 18:23:10.770455,,0 days 00:02:16.888204,,,
222,244,,1.0,1.0,2023-09-14 18:40:39.481893,,,2023-09-14 18:38:41.602683,,0 days 00:01:57.879210,,,
223,245,,,,,,2023-09-14 18:43:13.947217,2023-09-14 18:42:42.547794,0.0,,,,0 days 00:00:31.399423
225,247,,1.0,,2023-09-14 18:47:57.906997,,,2023-09-14 18:45:56.536496,,0 days 00:02:01.370501,,,
